feature,A,B,C,Ch,D,E,K,L,M,O,P,Q,R,S,V,X,Z,A_upper,B_upper,C_upper,Ch_upper,D_upper,E_upper,K_upper,L_upper,M_upper,O_upper,P_upper,Q_upper,R_upper,S_upper,V_upper,X_upper,Z_upper,A_lower,B_lower,C_lower,Ch_lower,D_lower,E_lower,K_lower,L_lower,M_lower,O_lower,P_lower,Q_lower,R_lower,S_lower,V_lower,X_lower,Z_lower
1.35,1.469,0.864,1.0184,1.069,1.6667,1.307,1.0956,1.3038,1.28,1.1012,1.1962,1.0661,1.3061,1.3414,1.5763,1.2638,1.8856,0.0978,0.0443,0.0358,0.0424,0.0526,0.0311,0.0334,0.0271,0.0369,0.0359,0.0295,0.0383,0.0637,0.0535,0.1214,0.0393,0.0199,-0.0978,-0.0443,-0.0358,-0.0424,-0.0526,-0.0311,-0.0334,-0.0271,-0.0369,-0.0359,-0.0295,-0.0383,-0.0637,-0.0535,-0.1214,-0.0393,-0.0199
1.4,1.5646,0.8634,1.0231,1.0735,1.6923,1.3099,1.101,1.3106,1.2898,1.1287,1.2074,1.0884,1.3363,1.3665,1.5832,1.2753,1.928,0.09,0.0418,0.0338,0.0384,0.0457,0.0292,0.0303,0.0252,0.0348,0.0395,0.0264,0.0359,0.0623,0.0482,0.1121,0.0375,0.019,-0.09,-0.0418,-0.0338,-0.0384,-0.0457,-0.0292,-0.0303,-0.0252,-0.0348,-0.0395,-0.0264,-0.0359,-0.0623,-0.0482,-0.1121,-0.0375,-0.019
1.45,1.6769,0.8622,1.0283,1.0782,1.7188,1.3124,1.1056,1.3171,1.3003,1.1445,1.2199,1.111,1.3639,1.3908,1.5675,1.2888,1.9751,0.0821,0.039,0.0307,0.0341,0.0384,0.0262,0.0271,0.0243,0.0316,0.0324,0.0231,0.0324,0.0592,0.0421,0.0957,0.0344,0.0173,-0.0821,-0.039,-0.0307,-0.0341,-0.0384,-0.0262,-0.0271,-0.0243,-0.0316,-0.0324,-0.0231,-0.0324,-0.0592,-0.0421,-0.0957,-0.0344,-0.0173
1.5,1.7828,0.8608,1.0334,1.0821,1.7441,1.3151,1.1095,1.3203,1.3097,1.1532,1.2326,1.1273,1.3801,1.4078,1.5256,1.3016,2.0205,0.0732,0.0345,0.0275,0.0301,0.0306,0.0241,0.0243,0.0236,0.0285,0.0293,0.0199,0.0294,0.056,0.036,0.0746,0.0316,0.0153,-0.0732,-0.0345,-0.0275,-0.0301,-0.0306,-0.0241,-0.0243,-0.0236,-0.0285,-0.0293,-0.0199,-0.0294,-0.056,-0.036,-0.0746,-0.0316,-0.0153
1.55,1.8698,0.86,1.0385,1.0858,1.768,1.3167,1.1121,1.3205,1.3189,1.1514,1.245,1.1352,1.3825,1.4155,1.4588,1.313,2.0639,0.0626,0.029,0.024,0.0263,0.0231,0.0213,0.0225,0.0226,0.0255,0.0238,0.0169,0.0265,0.0518,0.0304,0.0532,0.0288,0.0137,-0.0626,-0.029,-0.024,-0.0263,-0.0231,-0.0213,-0.0225,-0.0226,-0.0255,-0.0238,-0.0169,-0.0265,-0.0518,-0.0304,-0.0532,-0.0288,-0.0137
1.6,1.9286,0.8597,1.0431,1.089,1.79,1.3186,1.1131,1.3181,1.3263,1.1418,1.2567,1.1344,1.3685,1.4131,1.3783,1.3239,2.1057,0.0544,0.0239,0.0207,0.0228,0.0159,0.0184,0.0219,0.0203,0.022,0.0208,0.0146,0.0234,0.0401,0.0255,0.0408,0.0243,0.0137,-0.0544,-0.0239,-0.0207,-0.0228,-0.0159,-0.0184,-0.0219,-0.0203,-0.022,-0.0208,-0.0146,-0.0234,-0.0401,-0.0255,-0.0408,-0.0243,-0.0137
1.65,1.9615,0.8596,1.0469,1.0915,1.8105,1.3211,1.1125,1.3125,1.332,1.128,1.2679,1.1254,1.3421,1.4031,1.2957,1.3339,2.1449,0.0479,0.0183,0.0171,0.0191,0.0098,0.0163,0.0197,0.0171,0.0182,0.0151,0.0128,0.0199,0.0283,0.022,0.0399,0.02,0.0146,-0.0479,-0.0183,-0.0171,-0.0191,-0.0098,-0.0163,-0.0197,-0.0171,-0.0182,-0.0151,-0.0128,-0.0199,-0.0283,-0.022,-0.0399,-0.02,-0.0146
1.7,1.9831,0.8589,1.051,1.0947,1.8304,1.323,1.1119,1.3043,1.3371,1.1091,1.2786,1.1106,1.3056,1.3883,1.2183,1.342,2.1811,0.0306,0.0139,0.0135,0.0148,0.0071,0.0148,0.0158,0.0153,0.0143,0.0081,0.0119,0.0168,0.019,0.0205,0.045,0.0157,0.0152,-0.0306,-0.0139,-0.0135,-0.0148,-0.0071,-0.0148,-0.0158,-0.0153,-0.0143,-0.0081,-0.0119,-0.0168,-0.019,-0.0205,-0.045,-0.0157,-0.0152
1.75,1.9883,0.858,1.0552,1.0969,1.8493,1.3247,1.1107,1.2961,1.3423,1.0896,1.2888,1.0947,1.2748,1.3726,1.1503,1.3498,2.2155,0.0263,0.0128,0.0117,0.0121,0.0091,0.0132,0.0139,0.0149,0.0119,0.0014,0.0114,0.0152,0.017,0.0214,0.0523,0.0129,0.0162,-0.0263,-0.0128,-0.0117,-0.0121,-0.0091,-0.0132,-0.0139,-0.0149,-0.0119,-0.0014,-0.0114,-0.0152,-0.017,-0.0214,-0.0523,-0.0129,-0.0162
1.8,1.9885,0.8575,1.0589,1.0992,1.8674,1.3263,1.1092,1.2874,1.3465,1.0697,1.2985,1.0791,1.2507,1.3584,1.0928,1.3568,2.2487,0.0252,0.0156,0.0121,0.0108,0.0137,0.0116,0.013,0.0159,0.0103,0.01,0.0117,0.0156,0.019,0.0228,0.0598,0.0107,0.018,-0.0252,-0.0156,-0.0121,-0.0108,-0.0137,-0.0116,-0.013,-0.0159,-0.0103,-0.01,-0.0117,-0.0156,-0.019,-0.0228,-0.0598,-0.0107,-0.018
