designation,class_bus,class_demeo,slope,PC1,PC2,PC3,PC4,PC5,name,number,class_
237,S,Sr,0.18,0.3735,0.0136,-0.0128,0.0081,0.0446,Coelestina,237.0,Sr
243,S,S,0.2191,0.041,0.0275,-0.0348,0.0044,0.033,Ida,243.0,Sw
244,Sa,Sw,0.3561,0.3378,-0.1351,0.0436,0.0821,-0.0523,Sita,244.0,Sw
246,A,A,0.6036,-0.5975,-0.0238,0.4431,-0.102,-0.0245,Asporina,246.0,A
250,Xk,Xk,0.2586,-0.1308,-0.0905,-0.1378,0.01,0.0049,Bettina,250.0,Xk
258,S,S,0.1388,0.2412,0.0206,0.0163,-0.0058,0.0309,Tyche,258.0,S
264,S,S,0.2022,0.1715,-0.0041,-0.0186,0.0359,0.0132,Libussa,264.0,S
266,Ch,Ch,0.0988,-0.5608,0.0061,-0.1624,0.0658,0.0138,Aline,266.0,Ch
267,D,D,0.4505,0.2669,-0.2875,-0.1235,0.075,-0.0073,Tirza,267.0,D
269,Ld,D,1.2478,0.1062,-0.2237,-0.1521,0.0427,0.0112,Justitia,269.0,D
278,S,S,0.2441,0.1226,0.0262,0.0702,0.0545,-0.0071,Paulina,278.0,S
279,X,D,0.5886,-0.4233,-0.0246,-0.1842,0.1432,-0.0294,Thule,279.0,D
288,S,S,0.1642,0.4438,-0.1252,0.0143,-0.0161,0.0303,Glauke,288.0,S
289,A,A,1.3827,-1.662,0.3082,0.5455,0.0231,0.0879,Nenetta,289.0,A
295,S,Sw,0.2925,0.0453,-0.0111,0.111,0.0651,-0.0231,Theresia,295.0,Sw
308,T,T,0.3187,0.0562,-0.2577,-0.1384,-0.0282,-0.0111,Polyxo,308.0,T
322,X,X,0.4013,-0.3421,-0.0455,-0.1527,0.0614,-0.0023,Phaeo,322.0,D
337,X,Xk,0.1473,-0.3521,-0.032,-0.1549,0.0096,-0.002,Devosa,337.0,Xk
345,Ch,Ch,0.1286,-0.7064,0.0298,-0.1702,0.0548,0.0009,Tercidina,345.0,Ch
346,S,S,0.1786,-0.0587,0.0521,0.0566,0.0262,-0.0022,Hermentaria,346.0,S
349,R,R,0.3213,-0.2178,0.4352,0.1189,-0.0615,-0.005,Dembowska,349.0,R
352,Sl,Sw,0.2949,-0.0003,-0.0087,0.184,-0.0119,-0.0125,Gisela,352.0,Sw
354,Sl,A,0.7342,-0.4539,0.0124,0.2931,0.0412,-0.0253,Eleonora,354.0,A
359,X,Xk,0.1163,-0.259,-0.0821,-0.1642,0.04,-0.0346,Georgia,359.0,Xk
371,S,S,0.1721,0.3812,-0.0676,0.0057,0.0058,0.0286,Bohemia,371.0,S
378,S,S,0.1637,0.361,-0.1108,-0.0042,0.0046,0.0304,Holmia,378.0,S
387,L,L,0.1144,0.532,-0.3402,-0.0064,-0.0426,-0.0539,Aquitania,387.0,L
389,S,S,0.1184,0.0829,-0.0296,-0.0267,0.0057,0.0146,Industria,389.0,S
402,K,L,0.0471,0.1322,-0.2091,-0.0456,0.006,-0.0371,Chloe,402.0,L
403,S,S,0.1814,-0.0047,-0.0166,0.0836,0.0227,-0.006,Cyane,403.0,S
433,S,Sw,0.2762,0.0787,-0.0135,0.185,-0.0179,-0.0148,Eros,433.0,Sw
434,Xe,Xe,0.0919,0.0091,-0.2038,-0.0462,-0.0941,0.035,Hungaria,434.0,Xe
444,C,C,0.1228,-0.6121,0.0062,-0.1916,-0.075,-0.0043,Gyptis,444.0,C
446,A,A,0.7809,-0.722,0.0743,0.6009,0.0145,-0.0383,Aeternitas,446.0,A
