obs_id,target_name,target_class,access_url,bib_reference,alt_target_name
2001KY66_20141230_950_00,2001KY66,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001KY66_20141230_950_00.txt,,K01K66Y
2001OZ13_20051031_262_00,2001OZ13,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001OZ13_20051031_262_00.txt,,2001_OZ13
2001OZ13_20051031_262_01,2001OZ13,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001OZ13_20051031_262_01.txt,,2001_OZ13
2001RZ11_20140821_950_00,2001RZ11,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001RZ11_20140821_950_00.txt,,K01R11Z
2001SW169_20080827_568_00,2001SW169,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2001SW169_20080827_568_00.txt,,2001_SW169
2002CA141_20141012_950_00,2002CA141,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CA141_20141012_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02CE1A
2002CD8_20141013_950_00,2002CD8,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CD8_20141013_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02C08D
2002CE26_20140813_950_00,2002CE26,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CE26_20140813_950_00.txt,,K02C26E
2002CE26_20140903_950_00,2002CE26,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CE26_20140903_950_00.txt,,K02C26E
2002CK142_20141012_950_00,2002CK142,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CK142_20141012_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02CE2K
2002CQ236_20140920_950_00,2002CQ236,asteroid,http://spectre.imcce.fr/v1/m4ast/Spectre/2002CQ236_20140920_950_00.txt,http://adsabs.harvard.edu/abs/2016A%26A...586A.129M,K02CN6Q
