number,name,date_obs,shortbib
1110.0,Jaroslawa,1991-10-30,Xu+ 1995
1143.0,Odysseus,1992-03-13,Xu+ 1995
1144.0,Oda,1992-09-11,Xu+ 1995
1145.0,Robelmonte,1993-01-21,Xu+ 1995
1165.0,Imprinetta,1992-09-09,Xu+ 1995
1166.0,Sakuntala,1993-01-22,Xu+ 1995
1198.0,Atlantis,1992-11-28,Xu+ 1995
1257.0,Mora,1991-10-27,Xu+ 1995
1264.0,Letaba,1992-09-09,Xu+ 1995
1273.0,Helma,1993-01-21,Xu+ 1995
1279.0,Uganda,1992-09-08,Xu+ 1995
1279.0,Uganda,1992-09-09,Xu+ 1995
1289.0,Kutaissi,1992-11-29,Xu+ 1995
1302.0,Werra,1992-01-14,Xu+ 1995
1325.0,Inanda,1991-10-26,Xu+ 1995
1325.0,Inanda,1991-10-27,Xu+ 1995
1358.0,Gaika,1992-03-11,Xu+ 1995
1375.0,Alfreda,1992-09-06,Xu+ 1995
1379.0,Lomonosowa,1992-03-15,Xu+ 1995
1393.0,Sofala,1991-12-08,Xu+ 1995
1393.0,Sofala,1991-12-14,Xu+ 1995
1451.0,Grano,1993-01-22,Xu+ 1995
1463.0,Nordenmarkia,1993-01-04,Xu+ 1995
1471.0,Tornio,1993-01-01,Xu+ 1995
1478.0,Vihuri,1991-12-13,Xu+ 1995
1480.0,Aunus,1992-12-02,Xu+ 1995
1501.0,Baade,1991-12-07,Xu+ 1995
1518.0,Rovaniemi,1991-10-27,Xu+ 1995
1534.0,Nasi,1993-01-01,Xu+ 1995
1577.0,Reiss,1991-10-28,Xu+ 1995
1584.0,Fuji,1993-01-04,Xu+ 1995
1607.0,Mavis,1993-01-22,Xu+ 1995
1626.0,Sadeya,1991-10-25,Xu+ 1995
1626.0,Sadeya,1992-01-14,Xu+ 1995
1628.0,Strobel,1993-01-04,Xu+ 1995
1646.0,Rosseland,1992-11-26,Xu+ 1995
1646.0,Rosseland,1992-11-27,Xu+ 1995
1651.0,Behrens,1992-09-07,Xu+ 1995
1653.0,Yakhontovia,1992-09-11,Xu+ 1995
1658.0,Innes,1991-12-08,Xu+ 1995
1679.0,Nevanlinna,1992-09-11,Xu+ 1995
1697.0,Koskenniemi,1992-11-30,Xu+ 1995
1712.0,Angola,1992-09-08,Xu+ 1995
1722.0,Goffin,1992-12-01,Xu+ 1995
1725.0,CrAO,1992-03-14,Xu+ 1995
1743.0,Schmidt,1991-11-01,Xu+ 1995
1749.0,Telamon,1992-03-13,Xu+ 1995
1772.0,Gagarin,1992-03-11,Xu+ 1995
1781.0,Van Biesbroeck,1993-01-20,Xu+ 1995
1807.0,Slovakia,1991-10-26,Xu+ 1995
1807.0,Slovakia,1991-10-27,Xu+ 1995
1807.0,Slovakia,1991-10-29,Xu+ 1995
1854.0,Skvortsov,1992-11-28,Xu+ 1995
1854.0,Skvortsov,1992-11-29,Xu+ 1995
1892.0,Lucienne,1991-12-13,Xu+ 1995
1906.0,Naef,1991-12-07,Xu+ 1995
1906.0,Naef,1991-12-08,Xu+ 1995
1906.0,Naef,1991-12-14,Xu+ 1995
1906.0,Naef,1991-12-15,Xu+ 1995
1907.0,Rudneva,1992-09-07,Xu+ 1995
1929.0,Kollaa,1992-11-27,Xu+ 1995
1933.0,Tinchen,1992-09-06,Xu+ 1995
1933.0,Tinchen,1992-09-07,Xu+ 1995
1934.0,Jeffers,1992-03-11,Xu+ 1995
1967.0,Menzel,1992-12-02,Xu+ 1995
1995.0,Hajek,1991-10-30,Xu+ 1995
1995.0,Hajek,1991-10-31,Xu+ 1995
2011.0,Veteraniya,1992-11-29,Xu+ 1995
2011.0,Veteraniya,1992-11-30,Xu+ 1995
2011.0,Veteraniya,1992-12-01,Xu+ 1995
2014.0,Vasilevskis,1992-09-11,Xu+ 1995
2017.0,Wesson,1991-10-28,Xu+ 1995
2024.0,McLaughlin,1993-01-21,Xu+ 1995
2060.0,Chiron,1993-01-22,Xu+ 1995
2070.0,Humason,1991-11-01,Xu+ 1995
2074.0,Shoemaker,1991-10-30,Xu+ 1995
2078.0,Nanking,1992-09-08,Xu+ 1995
