name,number,inst,run,filename
2000 CG40,171620,spex,sp279,a171620.sp279n4.txt
Apophis,99942,spex,sp279,a099942.sp279n4.txt
2003 SW222,163902,spex,sp279,a163902.sp279n3.txt
2002 GZ8,612348,spex,sp279,au2002GZ8.sp279n3.txt
2002 TY66,156720,spex,sp279,a156720.sp279n3.txt
Pompeja,203,spex,sp279,a000203.sp279n3.txt
2015 NU13,,spex,sp279,au2015NU13.sp279n3.txt
2020 RO6,,spex,sp279,au2020RO6.sp279n2.txt
2001 XZ6,230269,spex,sp279,a230269.sp279n1.txt
1993 VA,7350,spex,sp113,a007350.sp113n1.txt
1999 YS9,27268,spex,sp113,a027268.sp113n1.txt
2005 GQ21,339492,spex,sp113,au2005GQ21.sp113n1.txt
1998 ST49,136993,spex,sp113,a136993.sp113n2.txt
2012 QE50,,spex,sp113,au2012QE50.sp113n1.txt
2012 RV16,,spex,sp113,au2012RV16.sp113n1.txt
2002 UA31,338292,spex,sp113,au2002ua31.sp113n2.txt
2002 TR190,416195,spex,sp113,au2002tr190.sp113n2.txt
2000 DJ48,45610,spex,sp113,a045610.sp113n2.txt
2012 TC4,,spex,sp113,au2012TC4.sp113n1.txt
2007 PA8,214869,spex,sp113,a214869.sp113n2.txt
2001 KA67,139345,spex,sp06,au2001KA67.sp06.txt
Moshup,66391,spex,sp06,au1999KW4.sp06.txt
2001 ME1,139359,spex,sp06,au2001ME1.sp06.txt
2001 KP41,26760,spex,sp06,au2001KP41.sp06.txt
Eger,3103,spex,sp06,a003103.sp06.txt
Toro,1685,spex,sp13,a001685.sp13.txt
1999 HF1,137170,spex,sp13,au1999HF1.sp13.txt
2009 QJ9,,spex,sp83,au2009qj9.sp83.txt
2003 EF54,163697,spex,sp83,a163697.sp83.txt
2000 LC16,17274,spex,sp83,a017274.sp83.txt
Kunlun,3613,spex,sp91,a003613.sp91.txt
1999 HE1,234061,spex,sp91,a234061.sp91.txt
1999 TA10,237442,spex,sp91,a237442.sp91.txt
Lumen,141,spex,sp91,a000141.sp91.txt
Viola,1076,spex,sp91,a001076.sp91.txt
Dionysus,3671,spex,sp91,a003671.sp91.txt
1998 XM4,85818,spex,sp91,a085818.sp91.txt
Campania,377,spex,sp91,a000377.sp91.txt
Melete,56,spex,sp31,a000056.sp31.txt
Ate,111,spex,sp31,a000111.sp31.txt
Irmintraud,773,spex,sp31,a000773.sp31.txt
Euterpe,27,spex,sp31,a000027.sp31.txt
1998 UO1,137032,spex,sp31,au1998UO1.sp31.txt
2004 FH11,303174,spex,sp31,au2004FH11.sp31.txt
2004 EW9,144411,spex,sp31,au2004EW9.sp31.txt
2004 RN9,164222,spex,sp31,au2004RN9.sp31.txt
Hidalgo,944,spex,sp31,a000944.sp31.txt
Lutetia,21,spex,sp31,a000021.sp31.txt
Robertfrazer,5817,spex,sp31,a005817.sp31.txt
1999 NC43,86039,spex,sp59,a086039.sp59.txt
Namiki,7304,spex,sp59,a007304.sp59.txt
2003 CJ11,154453,spex,sp59,au2003CJ11.sp59.txt
2006 VV2,374851,spex,sp59,au2006VV2.sp59_README.txt
2002 EQ9,163191,spex,sp59,au2002EQ9.sp59.txt
2006 VV2,374851,spex,sp59,au2006VV2.sp59.txt
2000 CQ101,152895,spex,sp59,au2000CQ101.sp59.txt
2011 CS4,414960,spex,sp226,a414960.sp226.txt
2014 AD17,,spex,sp226,au2014AD17.sp226.txt
2016 PR8,,spex,sp226,au2016PR8.sp226.txt
2016 YK,,spex,sp226,au2016YK.sp226.txt
2006 VY13,475665,spex,sp226,a475665.sp226.txt
Ockeghem,7343,spex,sp226,a007343.sp226.txt
2016 NL15,,spex,sp226,au2016NL15.sp226.txt
2001 FX9,203217,spex,sp226,a203217.sp226.txt
Brianenke,76818,spex,sp226,a076818.sp226.txt
2016 UE101,,spex,sp226,au2016UE101.sp226.txt
2003 NE,213812,spex,sp220,a213812.sp220.txt
1999 YR14,357024,spex,sp220,a357024.sp220.txt
1998 RK74,219093,spex,sp220,a219093.sp220.txt
